snr,machine,id,condition,file,path,waves_array
+6db,pump,id_00,abnormal,00000010.wav,E:\+6db/pump/id_00/abnormal/00000010.wav,"[-0.01234055 -0.01121521 -0.00795746 ...  0.00550079  0.00226593
 -0.0001564 ]"
+6db,pump,id_00,abnormal,00000011.wav,E:\+6db/pump/id_00/abnormal/00000011.wav,"[-0.00345993 -0.00691605 -0.00489426 ... -0.01042175 -0.00933838
 -0.0069046 ]"
+6db,pump,id_00,abnormal,00000012.wav,E:\+6db/pump/id_00/abnormal/00000012.wav,[0.00194168 0.00908661 0.01742172 ... 0.00550842 0.00537872 0.00322342]
+6db,pump,id_00,abnormal,00000013.wav,E:\+6db/pump/id_00/abnormal/00000013.wav,"[-0.00652695 -0.00823593 -0.00790024 ...  0.02859879  0.03276062
  0.03220749]"
+6db,pump,id_00,abnormal,00000014.wav,E:\+6db/pump/id_00/abnormal/00000014.wav,"[ 0.01865387  0.02095795  0.02016068 ... -0.0059967  -0.01468277
 -0.02101517]"
+6db,pump,id_00,abnormal,00000015.wav,E:\+6db/pump/id_00/abnormal/00000015.wav,"[-0.02915192 -0.03781509 -0.04382324 ... -0.01148987 -0.00178528
  0.00899506]"
+6db,pump,id_00,abnormal,00000016.wav,E:\+6db/pump/id_00/abnormal/00000016.wav,[0.02100754 0.02296448 0.02538681 ... 0.0019722  0.00265503 0.0015831 ]
+6db,pump,id_00,abnormal,00000017.wav,E:\+6db/pump/id_00/abnormal/00000017.wav,"[-2.4795532e-04 -4.5776367e-05  9.3841553e-04 ... -6.8359375e-03
 -8.5754395e-03 -6.1607361e-03]"
+6db,pump,id_00,abnormal,00000018.wav,E:\+6db/pump/id_00/abnormal/00000018.wav,"[-0.01190567 -0.01296234 -0.01554108 ... -0.0111618  -0.01707077
 -0.02290344]"
+6db,pump,id_00,abnormal,00000019.wav,E:\+6db/pump/id_00/abnormal/00000019.wav,"[-0.02252579 -0.02459717 -0.02597427 ... -0.00075912 -0.00438309
 -0.00127411]"
+6db,pump,id_00,abnormal,00000020.wav,E:\+6db/pump/id_00/abnormal/00000020.wav,"[ 0.00147629  0.00407791  0.00465775 ... -0.0034256   0.00020599
  0.00671387]"
+6db,pump,id_00,abnormal,00000021.wav,E:\+6db/pump/id_00/abnormal/00000021.wav,"[ 0.01794815  0.02425766  0.02568054 ... -0.01018906 -0.01082993
 -0.00845718]"
+6db,pump,id_00,abnormal,00000022.wav,E:\+6db/pump/id_00/abnormal/00000022.wav,"[-0.01199722 -0.01916885 -0.02090454 ... -0.00156784  0.00101089
  0.0021019 ]"
+6db,pump,id_00,abnormal,00000023.wav,E:\+6db/pump/id_00/abnormal/00000023.wav,"[-0.0012207  -0.00133514 -0.00252914 ...  0.0103302   0.01092911
  0.01136017]"
+6db,pump,id_00,abnormal,00000024.wav,E:\+6db/pump/id_00/abnormal/00000024.wav,"[ 0.00829315  0.00204086 -0.00334167 ... -0.0006218   0.00328064
  0.00621414]"
+6db,pump,id_00,abnormal,00000025.wav,E:\+6db/pump/id_00/abnormal/00000025.wav,[0.01079941 0.01681137 0.01651382 ... 0.00854111 0.0106926  0.01168823]
+6db,pump,id_00,abnormal,00000026.wav,E:\+6db/pump/id_00/abnormal/00000026.wav,"[-0.00130081 -0.00136948 -0.00178909 ...  0.0089035   0.00780106
  0.01008987]"
+6db,pump,id_00,abnormal,00000027.wav,E:\+6db/pump/id_00/abnormal/00000027.wav,"[ 0.0104866   0.0045166   0.00084686 ... -0.00774002 -0.00527191
 -0.00187302]"
+6db,pump,id_00,abnormal,00000028.wav,E:\+6db/pump/id_00/abnormal/00000028.wav,"[-0.00157547 -0.00028229 -0.00445557 ... -0.01705551 -0.0105896
 -0.00485229]"
+6db,pump,id_00,abnormal,00000029.wav,E:\+6db/pump/id_00/abnormal/00000029.wav,"[ 0.00571823  0.0088501   0.00671387 ... -0.00629807 -0.01055527
 -0.01389313]"
+6db,pump,id_00,abnormal,00000030.wav,E:\+6db/pump/id_00/abnormal/00000030.wav,"[-0.00535965  0.00122833  0.00400925 ... -0.03755188 -0.04537582
 -0.04985046]"
+6db,pump,id_00,abnormal,00000031.wav,E:\+6db/pump/id_00/abnormal/00000031.wav,"[-0.05151749 -0.0515976  -0.05146027 ...  0.00383377  0.00375748
 -0.00088501]"
+6db,pump,id_00,abnormal,00000032.wav,E:\+6db/pump/id_00/abnormal/00000032.wav,"[-0.00190353 -0.00230026 -0.00247574 ... -0.00924683 -0.01984024
 -0.01900482]"
+6db,pump,id_00,abnormal,00000033.wav,E:\+6db/pump/id_00/abnormal/00000033.wav,"[-0.01275253 -0.01092529 -0.01399612 ... -0.00400543 -0.00642395
 -0.00940704]"
+6db,pump,id_00,abnormal,00000034.wav,E:\+6db/pump/id_00/abnormal/00000034.wav,"[-0.00072098 -0.00040436 -0.00181198 ... -0.00315094 -0.00542831
 -0.00574875]"
+6db,pump,id_00,abnormal,00000035.wav,E:\+6db/pump/id_00/abnormal/00000035.wav,"[ 0.00510788  0.00532532  0.00153732 ... -0.00748825 -0.00857544
 -0.00895309]"
+6db,pump,id_00,abnormal,00000036.wav,E:\+6db/pump/id_00/abnormal/00000036.wav,"[-0.00619888 -0.00611877 -0.00483704 ... -0.00867081 -0.00447083
  0.00214005]"
+6db,pump,id_00,abnormal,00000037.wav,E:\+6db/pump/id_00/abnormal/00000037.wav,[0.0028038  0.01235962 0.01700592 ... 0.01268005 0.01165771 0.01116943]
+6db,pump,id_00,abnormal,00000038.wav,E:\+6db/pump/id_00/abnormal/00000038.wav,"[ 0.00899506  0.00414658 -0.00402832 ... -0.00644684 -0.00738144
 -0.0070343 ]"
+6db,pump,id_00,abnormal,00000039.wav,E:\+6db/pump/id_00/abnormal/00000039.wav,[0.00030899 0.00181961 0.00305557 ... 0.00317001 0.008564   0.01512527]
+6db,pump,id_00,abnormal,00000040.wav,E:\+6db/pump/id_00/abnormal/00000040.wav,"[ 0.0082016   0.00609207  0.00644684 ... -0.00683594 -0.00453568
 -0.0051651 ]"
+6db,pump,id_00,abnormal,00000041.wav,E:\+6db/pump/id_00/abnormal/00000041.wav,"[-0.00616455 -0.00719833 -0.00508499 ...  0.00745392  0.01070786
  0.00682068]"
+6db,pump,id_00,abnormal,00000042.wav,E:\+6db/pump/id_00/abnormal/00000042.wav,[0.00344086 0.00327301 0.00267029 ... 0.00321198 0.00260544 0.00380707]
+6db,pump,id_00,abnormal,00000043.wav,E:\+6db/pump/id_00/abnormal/00000043.wav,[0.00234985 0.003582   0.00242996 ... 0.0069313  0.00208282 0.00252914]
+6db,pump,id_00,abnormal,00000044.wav,E:\+6db/pump/id_00/abnormal/00000044.wav,"[ 0.00653458  0.0047226   0.00309372 ... -0.0079155  -0.00697327
 -0.00233459]"
+6db,pump,id_00,abnormal,00000045.wav,E:\+6db/pump/id_00/abnormal/00000045.wav,"[-0.00123978 -0.00131226 -0.00415421 ...  0.01908875  0.01525879
  0.01153946]"
+6db,pump,id_00,abnormal,00000046.wav,E:\+6db/pump/id_00/abnormal/00000046.wav,"[ 0.00732803  0.00134277 -0.00680542 ...  0.00952148  0.00989151
  0.00411987]"
+6db,pump,id_00,abnormal,00000047.wav,E:\+6db/pump/id_00/abnormal/00000047.wav,"[-2.2888184e-05  1.9683838e-03  3.6544800e-03 ... -4.8065186e-03
 -2.0980835e-03 -1.1825562e-03]"
+6db,pump,id_00,abnormal,00000048.wav,E:\+6db/pump/id_00/abnormal/00000048.wav,[0.00607681 0.00998688 0.00533295 ... 0.00678635 0.00754929 0.00412369]
+6db,pump,id_00,abnormal,00000049.wav,E:\+6db/pump/id_00/abnormal/00000049.wav,"[ 0.00748444  0.00766373  0.00822449 ... -0.01470947 -0.01912308
 -0.01726532]"
+6db,pump,id_00,abnormal,00000050.wav,E:\+6db/pump/id_00/abnormal/00000050.wav,"[-1.0250092e-02 -6.1950684e-03 -4.5318604e-03 ... -4.1961670e-03
 -9.5367432e-05 -2.3727417e-03]"
+6db,pump,id_00,abnormal,00000051.wav,E:\+6db/pump/id_00/abnormal/00000051.wav,"[-0.00519943 -0.00815201 -0.00941849 ...  0.00577927  0.00719833
  0.0075264 ]"
+6db,pump,id_00,abnormal,00000052.wav,E:\+6db/pump/id_00/abnormal/00000052.wav,[0.00570297 0.00114441 0.00102234 ... 0.00458908 0.00513458 0.00354767]
+6db,pump,id_00,abnormal,00000053.wav,E:\+6db/pump/id_00/abnormal/00000053.wav,"[-0.00107193  0.00139236 -0.00031662 ... -0.00564957 -0.00453186
 -0.00830078]"
+6db,pump,id_00,abnormal,00000054.wav,E:\+6db/pump/id_00/abnormal/00000054.wav,"[-0.01101685 -0.01085663 -0.00730515 ... -0.00806808 -0.00737
 -0.00802994]"
+6db,pump,id_00,abnormal,00000055.wav,E:\+6db/pump/id_00/abnormal/00000055.wav,"[-0.00230789 -0.00023651 -0.00176239 ...  0.00271988  0.00822067
  0.00974274]"
+6db,pump,id_00,abnormal,00000056.wav,E:\+6db/pump/id_00/abnormal/00000056.wav,"[ 0.00746536  0.00171661  0.00095367 ... -0.00210953  0.00250626
  0.00494766]"
+6db,pump,id_00,abnormal,00000057.wav,E:\+6db/pump/id_00/abnormal/00000057.wav,[0.00407028 0.00334549 0.00318909 ... 0.00577545 0.00294113 0.00245285]
+6db,pump,id_00,abnormal,00000058.wav,E:\+6db/pump/id_00/abnormal/00000058.wav,"[-0.00235748  0.00098419  0.00405884 ...  0.00085831 -0.00440216
 -0.00920486]"
+6db,pump,id_00,abnormal,00000059.wav,E:\+6db/pump/id_00/abnormal/00000059.wav,"[-0.0092926  -0.00736237 -0.00493622 ...  0.00017929  0.00033188
 -0.00260544]"
+6db,pump,id_00,abnormal,00000060.wav,E:\+6db/pump/id_00/abnormal/00000060.wav,"[ 0.0023613   0.00069809 -0.00067139 ...  0.01405334  0.01200485
  0.00961304]"
+6db,pump,id_00,abnormal,00000061.wav,E:\+6db/pump/id_00/abnormal/00000061.wav,"[ 0.00123215 -0.00136948 -0.00093842 ... -0.00242996 -0.00240707
 -0.00162506]"
+6db,pump,id_00,abnormal,00000062.wav,E:\+6db/pump/id_00/abnormal/00000062.wav,"[ 0.00108337 -0.00033951 -0.00208664 ...  0.01314926  0.01147461
  0.0114212 ]"
+6db,pump,id_00,abnormal,00000063.wav,E:\+6db/pump/id_00/abnormal/00000063.wav,"[ 0.00963593  0.00520325  0.00090027 ... -0.00082016  0.002388
  0.00543976]"
+6db,pump,id_00,abnormal,00000064.wav,E:\+6db/pump/id_00/abnormal/00000064.wav,"[ 0.00637436  0.01166534  0.02215195 ... -0.01210403 -0.01296234
 -0.00941086]"
+6db,pump,id_00,abnormal,00000065.wav,E:\+6db/pump/id_00/abnormal/00000065.wav,"[-0.00019836  0.00050354  0.00021744 ... -0.01047516 -0.01097488
 -0.01108932]"
+6db,pump,id_00,abnormal,00000066.wav,E:\+6db/pump/id_00/abnormal/00000066.wav,"[-0.00930786 -0.00717163 -0.00632858 ... -0.00815201 -0.00886154
 -0.00431442]"
+6db,pump,id_00,abnormal,00000067.wav,E:\+6db/pump/id_00/abnormal/00000067.wav,"[-0.00131226 -0.00149155 -0.00429535 ...  0.01199722  0.01524734
  0.01913071]"
+6db,pump,id_00,abnormal,00000068.wav,E:\+6db/pump/id_00/abnormal/00000068.wav,"[ 0.01925278  0.0161171   0.01488113 ... -0.00430679 -0.00040436
  0.00507355]"
+6db,pump,id_00,abnormal,00000069.wav,E:\+6db/pump/id_00/abnormal/00000069.wav,"[ 0.00522232  0.00329971  0.00603867 ... -0.00029373 -0.00103378
 -0.00099564]"
+6db,pump,id_00,abnormal,00000070.wav,E:\+6db/pump/id_00/abnormal/00000070.wav,"[-0.00089645 -0.00750351 -0.0080452  ... -0.00566101 -0.00479126
 -0.00334167]"
+6db,pump,id_00,abnormal,00000071.wav,E:\+6db/pump/id_00/abnormal/00000071.wav,[0.00125122 0.00446701 0.00460434 ... 0.00052643 0.00285339 0.00046158]
+6db,pump,id_00,abnormal,00000072.wav,E:\+6db/pump/id_00/abnormal/00000072.wav,"[-0.00123978 -0.0053978  -0.00672913 ...  0.00580978  0.00322723
 -0.00296783]"
+6db,pump,id_00,abnormal,00000073.wav,E:\+6db/pump/id_00/abnormal/00000073.wav,[0.00113297 0.00280762 0.00223541 ... 0.00364685 0.00077438 0.00227737]
+6db,pump,id_00,abnormal,00000074.wav,E:\+6db/pump/id_00/abnormal/00000074.wav,[0.00683975 0.00939941 0.00756073 ... 0.00128937 0.00452042 0.00205231]
+6db,pump,id_00,abnormal,00000075.wav,E:\+6db/pump/id_00/abnormal/00000075.wav,"[-0.00022507 -0.00151062 -0.00040054 ... -0.0052681  -0.00693512
 -0.00663376]"
+6db,pump,id_00,abnormal,00000076.wav,E:\+6db/pump/id_00/abnormal/00000076.wav,"[-0.00468063 -0.00311279 -0.00357056 ...  0.00115967 -0.00436783
 -0.00630569]"
+6db,pump,id_00,abnormal,00000077.wav,E:\+6db/pump/id_00/abnormal/00000077.wav,"[-0.00743103 -0.00748444 -0.00193787 ...  0.00405884  0.00416183
  0.00215912]"
+6db,pump,id_00,abnormal,00000078.wav,E:\+6db/pump/id_00/abnormal/00000078.wav,"[-0.00126648  0.00309372  0.00505829 ... -0.00452805  0.00192642
  0.00501633]"
+6db,pump,id_00,abnormal,00000079.wav,E:\+6db/pump/id_00/abnormal/00000079.wav,"[ 0.00780869  0.00999069  0.00773239 ...  0.00021362 -0.00265503
 -0.00722885]"
+6db,pump,id_00,abnormal,00000080.wav,E:\+6db/pump/id_00/abnormal/00000080.wav,"[-0.00947952 -0.00550842 -0.0002594  ... -0.01177597 -0.01195908
 -0.01434708]"
+6db,pump,id_00,abnormal,00000081.wav,E:\+6db/pump/id_00/abnormal/00000081.wav,"[-0.01123047 -0.00786591 -0.00508499 ...  0.01818466  0.01851654
  0.02046585]"
+6db,pump,id_00,abnormal,00000082.wav,E:\+6db/pump/id_00/abnormal/00000082.wav,[0.01707458 0.01337433 0.00910568 ... 0.01041031 0.00749969 0.00599289]
+6db,pump,id_00,abnormal,00000083.wav,E:\+6db/pump/id_00/abnormal/00000083.wav,"[ 0.00226212 -0.00074005 -0.00361252 ...  0.01188278  0.01354218
  0.01538086]"
+6db,pump,id_00,abnormal,00000084.wav,E:\+6db/pump/id_00/abnormal/00000084.wav,"[ 0.00623322  0.00130081 -0.00185013 ...  0.00871658  0.00535965
  0.00527573]"
+6db,pump,id_00,abnormal,00000085.wav,E:\+6db/pump/id_00/abnormal/00000085.wav,"[ 0.01107025  0.01099396  0.00768661 ... -0.00380325 -0.00292969
  0.00112152]"
+6db,pump,id_00,abnormal,00000086.wav,E:\+6db/pump/id_00/abnormal/00000086.wav,"[ 0.00453949  0.00524521  0.00737381 ... -0.01713562 -0.02080154
 -0.021492  ]"
+6db,pump,id_00,abnormal,00000087.wav,E:\+6db/pump/id_00/abnormal/00000087.wav,"[-0.02433777 -0.0232811  -0.02658844 ...  0.00326157  0.00657272
  0.00968933]"
+6db,pump,id_00,abnormal,00000088.wav,E:\+6db/pump/id_00/abnormal/00000088.wav,"[ 0.01004791  0.01133728  0.00996399 ...  0.01447678  0.00460815
 -0.00401306]"
+6db,pump,id_00,abnormal,00000089.wav,E:\+6db/pump/id_00/abnormal/00000089.wav,"[-0.00843048 -0.01061249 -0.01681519 ... -0.01594925 -0.01662064
 -0.01570129]"
+6db,pump,id_00,abnormal,00000090.wav,E:\+6db/pump/id_00/abnormal/00000090.wav,"[-0.0118866  -0.00967789 -0.00804138 ... -0.00697708 -0.00930405
 -0.01715088]"
+6db,pump,id_00,abnormal,00000091.wav,E:\+6db/pump/id_00/abnormal/00000091.wav,"[-0.02244568 -0.02386856 -0.02120972 ...  0.00314713  0.00409698
  0.00939178]"
+6db,pump,id_00,abnormal,00000092.wav,E:\+6db/pump/id_00/abnormal/00000092.wav,"[ 0.01573563  0.01504517  0.01029587 ... -0.00624847 -0.00450134
 -0.0056572 ]"
+6db,pump,id_00,abnormal,00000093.wav,E:\+6db/pump/id_00/abnormal/00000093.wav,"[-0.00661087 -0.00627518 -0.00435257 ... -0.00191879 -0.00118256
  0.00096893]"
+6db,pump,id_00,abnormal,00000094.wav,E:\+6db/pump/id_00/abnormal/00000094.wav,"[ 0.00357819  0.00432968  0.0056572  ... -0.00162125 -0.00130844
  0.00104523]"
+6db,pump,id_00,abnormal,00000095.wav,E:\+6db/pump/id_00/abnormal/00000095.wav,"[-4.9591064e-05  8.0108643e-04  2.5939941e-04 ...  1.1253357e-03
  2.4414062e-04  1.8119812e-03]"
+6db,pump,id_00,abnormal,00000096.wav,E:\+6db/pump/id_00/abnormal/00000096.wav,[0.00348663 0.00385284 0.00506592 ... 0.0025177  0.00167847 0.0017662 ]
+6db,pump,id_00,abnormal,00000097.wav,E:\+6db/pump/id_00/abnormal/00000097.wav,"[ 0.0043602   0.00256348  0.00183868 ... -0.00342941 -0.00440598
 -0.00437546]"
+6db,pump,id_00,abnormal,00000098.wav,E:\+6db/pump/id_00/abnormal/00000098.wav,"[-0.00571823 -0.00652313 -0.00437546 ... -0.00151825 -0.00105667
 -0.00255966]"
+6db,pump,id_00,abnormal,00000099.wav,E:\+6db/pump/id_00/abnormal/00000099.wav,"[-1.6670227e-03 -8.8500977e-04  4.5776367e-05 ... -1.1482239e-03
  1.6021729e-04  7.0953369e-04]"
+6db,pump,id_00,abnormal,00000100.wav,E:\+6db/pump/id_00/abnormal/00000100.wav,"[ 0.00270844  0.00346756  0.00329208 ... -0.00200653 -0.00180054
 -0.00147247]"
+6db,pump,id_00,abnormal,00000101.wav,E:\+6db/pump/id_00/abnormal/00000101.wav,"[-0.00324631 -0.00452423 -0.00458527 ... -0.00191498 -0.00317764
 -0.00348282]"
+6db,pump,id_00,abnormal,00000102.wav,E:\+6db/pump/id_00/abnormal/00000102.wav,"[-0.00050354 -0.00024414 -0.00028229 ...  0.00338745  0.0039978
  0.00424957]"
+6db,pump,id_00,abnormal,00000103.wav,E:\+6db/pump/id_00/abnormal/00000103.wav,"[ 0.000103   -0.00025558 -0.00078964 ...  0.00017548  0.00013733
  0.00072098]"
+6db,pump,id_00,abnormal,00000104.wav,E:\+6db/pump/id_00/abnormal/00000104.wav,"[ 0.00209808  0.00154877  0.00175095 ... -0.00626373 -0.0067215
 -0.00659943]"
+6db,pump,id_00,abnormal,00000105.wav,E:\+6db/pump/id_00/abnormal/00000105.wav,"[-0.00617599 -0.00415802 -0.00161743 ...  0.00056076  0.00020599
  0.0004921 ]"
+6db,pump,id_00,abnormal,00000106.wav,E:\+6db/pump/id_00/abnormal/00000106.wav,"[-0.00606918 -0.00495529 -0.00380325 ...  0.00217438  0.00325394
  0.00369263]"
+6db,pump,id_00,abnormal,00000107.wav,E:\+6db/pump/id_00/abnormal/00000107.wav,[0.00259018 0.00405884 0.00561142 ... 0.00774002 0.00658417 0.0035553 ]
+6db,pump,id_00,abnormal,00000108.wav,E:\+6db/pump/id_00/abnormal/00000108.wav,"[ 0.00596619  0.00545502  0.00439835 ...  0.00033188 -0.00173187
 -0.00391769]"
+6db,pump,id_00,abnormal,00000109.wav,E:\+6db/pump/id_00/abnormal/00000109.wav,"[-0.00222778 -0.00343704 -0.0043602  ...  0.00065994  0.0009346
  0.00281143]"
+6db,pump,id_00,abnormal,00000110.wav,E:\+6db/pump/id_00/abnormal/00000110.wav,"[-0.00059128 -0.00046158 -0.00200653 ... -0.002491    0.00186539
  0.0051651 ]"
+6db,pump,id_00,abnormal,00000111.wav,E:\+6db/pump/id_00/abnormal/00000111.wav,"[ 0.0104599   0.01002884  0.00928116 ... -0.00214386 -0.00232315
 -0.00211716]"
+6db,pump,id_00,abnormal,00000112.wav,E:\+6db/pump/id_00/abnormal/00000112.wav,"[-0.00167465 -0.00178146  0.00016785 ... -0.00797272 -0.00643539
 -0.00473022]"
+6db,pump,id_00,abnormal,00000113.wav,E:\+6db/pump/id_00/abnormal/00000113.wav,"[-0.00258636 -0.00230026 -0.00221634 ... -0.00066757 -0.00188065
 -0.00250626]"
+6db,pump,id_00,abnormal,00000114.wav,E:\+6db/pump/id_00/abnormal/00000114.wav,"[-0.00226974 -0.00508499 -0.00380325 ... -0.00635147 -0.00606537
 -0.00487137]"
+6db,pump,id_00,abnormal,00000115.wav,E:\+6db/pump/id_00/abnormal/00000115.wav,"[-0.00687408 -0.00608444 -0.00399017 ... -0.00231934 -0.00187302
 -0.00175858]"
+6db,pump,id_00,abnormal,00000116.wav,E:\+6db/pump/id_00/abnormal/00000116.wav,"[ 7.0953369e-04  2.2888184e-05 -1.6822815e-03 ...  2.0828247e-03
  1.8997192e-03  7.1716309e-04]"
+6db,pump,id_00,abnormal,00000117.wav,E:\+6db/pump/id_00/abnormal/00000117.wav,"[ 0.0019455   0.00043869 -0.00115204 ... -0.00369263 -0.00154114
 -0.00245667]"
+6db,pump,id_00,abnormal,00000118.wav,E:\+6db/pump/id_00/abnormal/00000118.wav,"[-0.0038147  -0.00296402 -0.00427628 ... -0.0003624   0.00097275
  0.00098801]"
+6db,pump,id_00,abnormal,00000119.wav,E:\+6db/pump/id_00/abnormal/00000119.wav,"[ 0.00233078  0.00150299  0.00168991 ... -0.00310135 -0.00127029
 -0.00156784]"
+6db,pump,id_00,abnormal,00000120.wav,E:\+6db/pump/id_00/abnormal/00000120.wav,"[ 0.0012207   0.0019989   0.00239563 ... -0.00104523  0.00065994
 -0.00015259]"
+6db,pump,id_00,abnormal,00000121.wav,E:\+6db/pump/id_00/abnormal/00000121.wav,"[-0.0028801  -0.00179672 -0.00208664 ...  0.00159836  0.00072098
  0.00123978]"
+6db,pump,id_00,abnormal,00000122.wav,E:\+6db/pump/id_00/abnormal/00000122.wav,[0.0014801  0.00201416 0.00256348 ... 0.00091553 0.00169373 0.00308228]
+6db,pump,id_00,abnormal,00000123.wav,E:\+6db/pump/id_00/abnormal/00000123.wav,[0.00049591 0.00082397 0.00101089 ... 0.00426483 0.00334549 0.00238037]
+6db,pump,id_00,abnormal,00000124.wav,E:\+6db/pump/id_00/abnormal/00000124.wav,"[-0.00227356 -0.00446701 -0.00608444 ...  0.00278473  0.00190735
  0.00112534]"
+6db,pump,id_00,abnormal,00000125.wav,E:\+6db/pump/id_00/abnormal/00000125.wav,"[ 0.0008316   0.00114822  0.00169373 ... -0.00355911 -0.00211334
 -0.0009079 ]"
+6db,pump,id_00,abnormal,00000126.wav,E:\+6db/pump/id_00/abnormal/00000126.wav,[0.00076294 0.00134277 0.00177002 ... 0.00539017 0.00494766 0.00361633]
+6db,pump,id_00,abnormal,00000127.wav,E:\+6db/pump/id_00/abnormal/00000127.wav,"[-0.00151825 -0.00514221 -0.00027466 ... -0.00096512 -0.00149536
 -0.0008812 ]"
+6db,pump,id_00,abnormal,00000128.wav,E:\+6db/pump/id_00/abnormal/00000128.wav,"[-0.00455093 -0.00431442 -0.00399017 ... -0.00408173 -0.00447845
 -0.00493622]"
+6db,pump,id_00,abnormal,00000129.wav,E:\+6db/pump/id_00/abnormal/00000129.wav,"[-1.2664795e-03 -6.2561035e-04 -3.3187866e-04 ...  1.7814636e-03
  6.9046021e-04  8.0108643e-05]"
+6db,pump,id_00,abnormal,00000130.wav,E:\+6db/pump/id_00/abnormal/00000130.wav,"[-0.00127029 -0.0016861  -0.00232315 ... -0.00219345 -0.00299072
 -0.00329971]"
+6db,pump,id_00,abnormal,00000131.wav,E:\+6db/pump/id_00/abnormal/00000131.wav,[0.00180435 0.00252533 0.00292969 ... 0.00117493 0.0016861  0.00245285]
+6db,pump,id_00,abnormal,00000132.wav,E:\+6db/pump/id_00/abnormal/00000132.wav,"[-0.00443649 -0.00352859 -0.00321579 ...  0.00213242  0.00319672
  0.00386047]"
+6db,pump,id_00,abnormal,00000133.wav,E:\+6db/pump/id_00/abnormal/00000133.wav,"[ 0.00089264  0.00019073 -0.0008812  ...  0.00495911  0.00458145
  0.00402832]"
+6db,pump,id_00,abnormal,00000134.wav,E:\+6db/pump/id_00/abnormal/00000134.wav,"[-0.0021286  -0.00099182 -0.00035477 ...  0.00085449  0.00172043
  0.00231171]"
+6db,pump,id_00,abnormal,00000135.wav,E:\+6db/pump/id_00/abnormal/00000135.wav,[0.00336456 0.00439835 0.00476074 ... 0.00668716 0.00930405 0.01060486]
+6db,pump,id_00,abnormal,00000136.wav,E:\+6db/pump/id_00/abnormal/00000136.wav,"[ 0.01141357  0.00994492  0.00760269 ... -0.00611496 -0.00573349
 -0.00556564]"
+6db,pump,id_00,abnormal,00000137.wav,E:\+6db/pump/id_00/abnormal/00000137.wav,"[-0.00214005 -0.00260925 -0.00198746 ... -0.00044632 -0.00106049
 -0.00259781]"
+6db,pump,id_00,abnormal,00000138.wav,E:\+6db/pump/id_00/abnormal/00000138.wav,"[ 0.00642014 -0.00053787 -0.00237656 ...  0.0065918   0.0082016
  0.00430298]"
+6db,pump,id_00,abnormal,00000139.wav,E:\+6db/pump/id_00/abnormal/00000139.wav,"[ 0.00293732  0.0048027   0.00528336 ... -0.00261307  0.00307083
  0.00567627]"
+6db,pump,id_00,abnormal,00000140.wav,E:\+6db/pump/id_00/abnormal/00000140.wav,[0.0032196  0.00576782 0.00285721 ... 0.00256348 0.00218964 0.00081253]
+6db,pump,id_00,abnormal,00000141.wav,E:\+6db/pump/id_00/abnormal/00000141.wav,"[-0.00351715 -0.00254822 -0.00088882 ... -0.00177383 -0.00255585
 -0.00242615]"
+6db,pump,id_00,abnormal,00000142.wav,E:\+6db/pump/id_00/abnormal/00000142.wav,"[-0.00275803 -0.00128937  0.00042343 ...  0.00286102  0.00147247
  0.00058746]"
+6db,pump,id_00,normal,00000000.wav,E:\+6db/pump/id_00/normal/00000000.wav,"[-0.00656891 -0.00547028 -0.0054245  ... -0.0004425  -0.00189972
 -0.00161743]"
