,snr,machine,id,condition,file,path,y_array,ftt
10,+6b,valve,id_00,abnormal,00000010.wav,+6b/valve/id_00/abnormal/00000010.wav,"[-0.000103    0.00016403  0.00056076 ...  0.0009079   0.00026703
 -0.00019836]","[[0.2954703 ]
 [0.33210203]
 [0.29244232]
 ...
 [0.00125148]
 [0.00103238]
 [0.00104396]]"
11,+6b,valve,id_00,abnormal,00000011.wav,+6b/valve/id_00/abnormal/00000011.wav,"[-0.00437164 -0.00514221 -0.00530624 ...  0.00034714 -0.0007782
 -0.00162506]","[[0.01627629]
 [0.06615429]
 [0.11726659]
 ...
 [0.00286296]
 [0.00306781]
 [0.00280729]]"
12,+6b,valve,id_00,abnormal,00000012.wav,+6b/valve/id_00/abnormal/00000012.wav,"[ 0.0006218   0.00075912  0.00081253 ... -0.00138855 -0.00146866
 -0.00140381]","[[0.02710273]
 [0.01676197]
 [0.06740496]
 ...
 [0.00285817]
 [0.00047163]
 [0.00093101]]"
13,+6b,valve,id_00,abnormal,00000013.wav,+6b/valve/id_00/abnormal/00000013.wav,"[ 0.00102615  0.00193405  0.00223923 ... -0.00310135 -0.00277328
 -0.00267029]","[[0.10158549]
 [0.11939857]
 [0.2923524 ]
 ...
 [0.00205493]
 [0.00289293]
 [0.00311708]]"
14,+6b,valve,id_00,abnormal,00000014.wav,+6b/valve/id_00/abnormal/00000014.wav,[0.00295639 0.00249863 0.00219727 ... 0.0016861  0.00143051 0.00109482],"[[0.19755846]
 [0.15610394]
 [0.22729814]
 ...
 [0.00440609]
 [0.00195678]
 [0.00059618]]"
15,+6b,valve,id_00,abnormal,00000015.wav,+6b/valve/id_00/abnormal/00000015.wav,"[ 0.0022583   0.0018959   0.00178909 ... -0.00172806 -0.00237274
 -0.00219727]","[[0.03916815]
 [0.04976195]
 [0.00932129]
 ...
 [0.00403758]
 [0.00324924]
 [0.00323387]]"
16,+6b,valve,id_00,abnormal,00000016.wav,+6b/valve/id_00/abnormal/00000016.wav,"[-8.2397461e-04 -6.3705444e-04 -4.5776367e-05 ... -8.0490112e-04
 -1.4457703e-03 -2.3460388e-03]","[[2.8383088e-01]
 [9.2188917e-02]
 [8.8212021e-02]
 ...
 [1.5667210e-04]
 [1.4881896e-03]
 [2.1438499e-03]]"
17,+6b,valve,id_00,abnormal,00000017.wav,+6b/valve/id_00/abnormal/00000017.wav,"[-0.00267792 -0.00274277 -0.00246811 ... -0.00149918 -0.00118256
 -0.00131607]","[[0.3903702 ]
 [0.35526726]
 [0.05733288]
 ...
 [0.00146718]
 [0.00241698]
 [0.001775  ]]"
18,+6b,valve,id_00,abnormal,00000018.wav,+6b/valve/id_00/abnormal/00000018.wav,"[-0.00058365 -0.00109863 -0.00076675 ...  0.00367737  0.0033226
  0.00311279]","[[0.07271155]
 [0.07958598]
 [0.07645433]
 ...
 [0.00100945]
 [0.00141714]
 [0.00266581]]"
19,+6b,valve,id_00,abnormal,00000019.wav,+6b/valve/id_00/abnormal/00000019.wav,"[ 5.3405762e-05 -1.0337830e-03 -1.1863708e-03 ... -4.2343140e-04
 -3.0136108e-04 -2.7084351e-04]","[[0.04281881]
 [0.00042201]
 [0.02985847]
 ...
 [0.00909581]
 [0.00486398]
 [0.00132801]]"
20,+6b,valve,id_00,abnormal,00000020.wav,+6b/valve/id_00/abnormal/00000020.wav,"[-1.5258789e-05  1.2168884e-03  2.2392273e-03 ...  6.4468384e-04
  1.1444092e-05 -4.9591064e-05]","[[0.172037  ]
 [0.15374413]
 [0.09423617]
 ...
 [0.00090859]
 [0.00057722]
 [0.00038676]]"
21,+6b,valve,id_00,abnormal,00000021.wav,+6b/valve/id_00/abnormal/00000021.wav,"[-0.00373459 -0.00267792 -0.00225449 ... -0.00444031 -0.00454712
 -0.00418472]","[[0.25430164]
 [0.24719657]
 [0.05545731]
 ...
 [0.00074618]
 [0.00154989]
 [0.0016422 ]]"
22,+6b,valve,id_00,abnormal,00000022.wav,+6b/valve/id_00/abnormal/00000022.wav,"[-0.00268936 -0.00247574 -0.0020752  ...  0.00229263  0.00245285
  0.0019455 ]","[[0.24056585]
 [0.2578745 ]
 [0.32015437]
 ...
 [0.00181918]
 [0.0007409 ]
 [0.00059628]]"
23,+6b,valve,id_00,abnormal,00000023.wav,+6b/valve/id_00/abnormal/00000023.wav,"[ 0.00278473  0.00235367  0.00218201 ... -0.003685   -0.00322342
 -0.00256729]","[[1.0898186e-01]
 [4.0452290e-02]
 [1.3944700e-03]
 ...
 [8.3177911e-05]
 [6.3807573e-05]
 [2.5355103e-04]]"
24,+6b,valve,id_00,abnormal,00000024.wav,+6b/valve/id_00/abnormal/00000024.wav,"[-0.00114441 -0.00165939 -0.00217819 ...  0.00016785  0.00049973
  0.00146103]","[[0.1817792 ]
 [0.21428771]
 [0.23269396]
 ...
 [0.00154085]
 [0.00256339]
 [0.00347132]]"
25,+6b,valve,id_00,abnormal,00000025.wav,+6b/valve/id_00/abnormal/00000025.wav,"[ 0.00166321  0.00066757  0.00040054 ... -0.00148392 -0.00153351
 -0.001297  ]","[[3.5948643e-01]
 [3.5726944e-01]
 [2.8318948e-01]
 ...
 [8.1180327e-04]
 [1.5157828e-04]
 [1.4347123e-03]]"
26,+6b,valve,id_00,abnormal,00000026.wav,+6b/valve/id_00/abnormal/00000026.wav,[0.00027466 0.00028229 0.00062561 ... 0.00071335 0.00071335 0.00100708],"[[0.22372097]
 [0.15148848]
 [0.08747405]
 ...
 [0.00068626]
 [0.00134736]
 [0.00328684]]"
27,+6b,valve,id_00,abnormal,00000027.wav,+6b/valve/id_00/abnormal/00000027.wav,"[ 0.00136566  0.00173187  0.00213623 ... -0.00278854 -0.00247192
 -0.00216293]","[[6.57566041e-02]
 [1.00996338e-01]
 [1.42600492e-01]
 ...
 [5.85504109e-04]
 [1.15379546e-04]
 [1.16039172e-03]]"
28,+6b,valve,id_00,abnormal,00000028.wav,+6b/valve/id_00/abnormal/00000028.wav,"[-0.00304031 -0.00289154 -0.00260544 ... -0.00322342 -0.00227356
 -0.0012207 ]","[[0.02727428]
 [0.0120259 ]
 [0.21108705]
 ...
 [0.00043188]
 [0.00049724]
 [0.00129878]]"
29,+6b,valve,id_00,abnormal,00000029.wav,+6b/valve/id_00/abnormal/00000029.wav,"[ 0.00506592  0.00441742  0.00354767 ... -0.00125504 -0.00111008
 -0.00109482]","[[0.01752508]
 [0.00287015]
 [0.04859578]
 ...
 [0.00194778]
 [0.00016128]
 [0.00144483]]"
30,+6b,valve,id_00,abnormal,00000030.wav,+6b/valve/id_00/abnormal/00000030.wav,"[-0.00105667 -0.0013504  -0.00183487 ...  0.00296783  0.00325012
  0.00315475]","[[0.16664219]
 [0.12212101]
 [0.11324301]
 ...
 [0.00124166]
 [0.00448462]
 [0.00497922]]"
31,+6b,valve,id_00,abnormal,00000031.wav,+6b/valve/id_00/abnormal/00000031.wav,"[-8.0108643e-05 -4.1961670e-05  1.3198853e-03 ...  1.4419556e-03
  2.8305054e-03  2.9296875e-03]","[[0.08709534]
 [0.01785783]
 [0.01672608]
 ...
 [0.00631483]
 [0.00307096]
 [0.01325383]]"
32,+6b,valve,id_00,abnormal,00000032.wav,+6b/valve/id_00/abnormal/00000032.wav,[0.00291061 0.00195694 0.00185013 ... 0.00323868 0.00339508 0.00398254],"[[0.12974672]
 [0.1436947 ]
 [0.18448645]
 ...
 [0.00135741]
 [0.00137938]
 [0.00021369]]"
33,+6b,valve,id_00,abnormal,00000033.wav,+6b/valve/id_00/abnormal/00000033.wav,"[ 0.0030098   0.00269699  0.0021019  ... -0.0037117  -0.00399017
 -0.00402451]","[[0.1520516 ]
 [0.28817743]
 [0.301057  ]
 ...
 [0.00087142]
 [0.00118198]
 [0.00115713]]"
34,+6b,valve,id_00,abnormal,00000034.wav,+6b/valve/id_00/abnormal/00000034.wav,"[ 0.0022049   0.00154495  0.00086594 ... -0.00243378 -0.00176239
 -0.00124359]","[[0.28835836]
 [0.37391487]
 [0.40924135]
 ...
 [0.00582666]
 [0.00508112]
 [0.00448114]]"
35,+6b,valve,id_00,abnormal,00000035.wav,+6b/valve/id_00/abnormal/00000035.wav,"[-7.5149536e-04 -1.7852783e-03 -2.0179749e-03 ... -1.2741089e-03
 -8.3923340e-05  4.5013428e-04]","[[9.8254882e-02]
 [1.4584795e-01]
 [1.6547792e-01]
 ...
 [6.0591905e-05]
 [2.0128132e-03]
 [3.7712229e-03]]"
36,+6b,valve,id_00,abnormal,00000036.wav,+6b/valve/id_00/abnormal/00000036.wav,"[ 0.00130463  0.00157166  0.00164795 ... -0.0018158  -0.00173187
 -0.0015831 ]","[[1.8050921e-01]
 [1.5075314e-01]
 [4.3283001e-02]
 ...
 [3.0388271e-03]
 [1.7917808e-03]
 [7.2020397e-05]]"
37,+6b,valve,id_00,abnormal,00000037.wav,+6b/valve/id_00/abnormal/00000037.wav,"[ 0.00024796 -0.00011063 -0.0003624  ... -0.00112534 -0.00196075
 -0.00234222]","[[0.01791522]
 [0.04342939]
 [0.01020559]
 ...
 [0.00011737]
 [0.00165139]
 [0.0026621 ]]"
38,+6b,valve,id_00,abnormal,00000038.wav,+6b/valve/id_00/abnormal/00000038.wav,"[-0.00273514 -0.00201035 -0.00163269 ... -0.00210571 -0.00120926
 -0.00302887]","[[0.09820302]
 [0.15344688]
 [0.15279686]
 ...
 [0.00026538]
 [0.00296699]
 [0.00308024]]"
39,+6b,valve,id_00,abnormal,00000039.wav,+6b/valve/id_00/abnormal/00000039.wav,"[-0.00084686  0.00093079  0.0012207  ...  0.0005722   0.00047302
  0.00032806]","[[0.02459573]
 [0.04985375]
 [0.03992737]
 ...
 [0.00036165]
 [0.00165316]
 [0.00358029]]"
40,+6b,valve,id_00,abnormal,00000040.wav,+6b/valve/id_00/abnormal/00000040.wav,"[-0.00274277 -0.00276184 -0.00295258 ...  0.00294876  0.00266647
  0.0024147 ]","[[2.7125692e-01]
 [3.2104814e-01]
 [5.1526058e-01]
 ...
 [6.4235675e-04]
 [2.4544942e-04]
 [4.4744226e-04]]"
41,+6b,valve,id_00,abnormal,00000041.wav,+6b/valve/id_00/abnormal/00000041.wav,"[-6.9808960e-04 -3.3187866e-04 -2.6702881e-05 ...  3.5591125e-03
  4.0397644e-03  4.3487549e-03]","[[0.12010207]
 [0.07258627]
 [0.07689423]
 ...
 [0.00576871]
 [0.00666391]
 [0.00782007]]"
42,+6b,valve,id_00,abnormal,00000042.wav,+6b/valve/id_00/abnormal/00000042.wav,[0.00319672 0.00266266 0.00217438 ... 0.00136566 0.00063324 0.00033951],"[[0.33436385]
 [0.42061183]
 [0.5627845 ]
 ...
 [0.00293595]
 [0.00187888]
 [0.00194031]]"
43,+6b,valve,id_00,abnormal,00000043.wav,+6b/valve/id_00/abnormal/00000043.wav,"[ 0.00072479  0.00085449  0.0005722  ... -0.00191879 -0.00164795
 -0.00132751]","[[0.32905355]
 [0.38424778]
 [0.47850692]
 ...
 [0.0011028 ]
 [0.00313914]
 [0.00477881]]"
44,+6b,valve,id_00,abnormal,00000044.wav,+6b/valve/id_00/abnormal/00000044.wav,"[ 0.00314713  0.00328827  0.00282669 ... -0.00217056 -0.00187683
 -0.00162506]","[[0.4133659 ]
 [0.3497488 ]
 [0.42488986]
 ...
 [0.00059152]
 [0.0005874 ]
 [0.00053755]]"
45,+6b,valve,id_00,abnormal,00000045.wav,+6b/valve/id_00/abnormal/00000045.wav,"[ 4.9591064e-03  4.3258667e-03  3.2920837e-03 ... -8.0108643e-05
 -3.3569336e-04 -4.2343140e-04]","[[0.23883156]
 [0.4054602 ]
 [0.3858691 ]
 ...
 [0.0017746 ]
 [0.00159845]
 [0.00170427]]"
46,+6b,valve,id_00,abnormal,00000046.wav,+6b/valve/id_00/abnormal/00000046.wav,"[ 3.0517578e-05 -3.8528442e-04 -9.3078613e-04 ...  6.8283081e-04
  7.6675415e-04 -2.6702881e-05]","[[0.01114118]
 [0.00412491]
 [0.13928176]
 ...
 [0.00119054]
 [0.00140246]
 [0.0030405 ]]"
47,+6b,valve,id_00,abnormal,00000047.wav,+6b/valve/id_00/abnormal/00000047.wav,"[ 0.00286484  0.00250244  0.00279999 ...  0.00118637  0.00119781
 -0.00027466]","[[0.2865512 ]
 [0.22058798]
 [0.19952261]
 ...
 [0.00096748]
 [0.0011476 ]
 [0.00138506]]"
48,+6b,valve,id_00,abnormal,00000048.wav,+6b/valve/id_00/abnormal/00000048.wav,"[ 0.001091    0.00111389  0.00153732 ... -0.00282288 -0.00392914
 -0.00486374]","[[0.1839506 ]
 [0.21345748]
 [0.26160982]
 ...
 [0.00474648]
 [0.00549007]
 [0.00646056]]"
49,+6b,valve,id_00,abnormal,00000049.wav,+6b/valve/id_00/abnormal/00000049.wav,"[ 0.0028038   0.00206757  0.001091   ... -0.00300598 -0.00318146
 -0.00261688]","[[2.7254376e-01]
 [1.7323019e-01]
 [1.3204195e-02]
 ...
 [1.2294098e-03]
 [2.1420654e-05]
 [1.0992179e-03]]"
50,+6b,valve,id_00,abnormal,00000050.wav,+6b/valve/id_00/abnormal/00000050.wav,"[ 5.3405762e-05 -2.4795532e-04 -1.5716553e-03 ... -4.2724609e-04
 -4.1580200e-04  2.2277832e-03]","[[0.11810154]
 [0.12990929]
 [0.13485964]
 ...
 [0.00155078]
 [0.00100477]
 [0.0029593 ]]"
51,+6b,valve,id_00,abnormal,00000051.wav,+6b/valve/id_00/abnormal/00000051.wav,"[-4.1961670e-05  3.7765503e-04  9.1552734e-04 ... -2.8877258e-03
 -3.3836365e-03 -4.2076111e-03]","[[0.02647675]
 [0.0955681 ]
 [0.1643361 ]
 ...
 [0.00338158]
 [0.00586749]
 [0.00662695]]"
52,+6b,valve,id_00,abnormal,00000052.wav,+6b/valve/id_00/abnormal/00000052.wav,"[ 9.4985962e-04  3.7002563e-04  1.8806458e-03 ... -8.3923340e-05
  1.0299683e-03  1.4381409e-03]","[[0.03665391]
 [0.05586971]
 [0.11539001]
 ...
 [0.00722783]
 [0.00888079]
 [0.00872789]]"
53,+6b,valve,id_00,abnormal,00000053.wav,+6b/valve/id_00/abnormal/00000053.wav,"[ 0.00269699  0.00295258  0.00290298 ...  0.00020981 -0.00067139
 -0.00135803]","[[0.05050167]
 [0.08732301]
 [0.14213686]
 ...
 [0.00034989]
 [0.00124338]
 [0.00029791]]"
54,+6b,valve,id_00,abnormal,00000054.wav,+6b/valve/id_00/abnormal/00000054.wav,"[ 5.8364868e-04 -4.1961670e-05 -4.5776367e-04 ...  1.2969971e-03
  2.0256042e-03  2.2163391e-03]","[[0.04205104]
 [0.06600931]
 [0.03677582]
 ...
 [0.02914288]
 [0.04836135]
 [0.0693988 ]]"
55,+6b,valve,id_00,abnormal,00000055.wav,+6b/valve/id_00/abnormal/00000055.wav,"[-0.00054169 -0.00033569  0.00016022 ... -0.0005722  -0.00056839
 -0.00074768]","[[0.16759552]
 [0.0939707 ]
 [0.08444798]
 ...
 [0.00089759]
 [0.00252872]
 [0.00356457]]"
56,+6b,valve,id_00,abnormal,00000056.wav,+6b/valve/id_00/abnormal/00000056.wav,"[-0.00272369 -0.00292206 -0.00224304 ...  0.00104523  0.00107574
  0.00093079]","[[0.02722507]
 [0.00072697]
 [0.15017292]
 ...
 [0.00109324]
 [0.00329516]
 [0.00363037]]"
57,+6b,valve,id_00,abnormal,00000057.wav,+6b/valve/id_00/abnormal/00000057.wav,[0.00030136 0.00063324 0.00023651 ... 0.00308228 0.00344849 0.00317383],"[[0.05638041]
 [0.03521866]
 [0.02972894]
 ...
 [0.00072583]
 [0.00407015]
 [0.0070205 ]]"
58,+6b,valve,id_00,abnormal,00000058.wav,+6b/valve/id_00/abnormal/00000058.wav,"[-0.00084305 -0.00048065 -0.00016785 ...  0.00130463  0.00143433
  0.00138855]","[[0.08581837]
 [0.02659366]
 [0.06464113]
 ...
 [0.01358752]
 [0.01798209]
 [0.02089967]]"
59,+6b,valve,id_00,abnormal,00000059.wav,+6b/valve/id_00/abnormal/00000059.wav,"[ 8.0108643e-05 -7.0571899e-04 -4.1198730e-04 ... -1.5792847e-03
 -1.7013550e-03 -2.1858215e-03]","[[0.19944602]
 [0.07335731]
 [0.08878268]
 ...
 [0.00181752]
 [0.0008705 ]
 [0.00283578]]"
60,+6b,valve,id_00,abnormal,00000060.wav,+6b/valve/id_00/abnormal/00000060.wav,"[ 0.00214767  0.00230408  0.00234222 ... -0.00029755 -0.00052643
 -0.00123215]","[[0.29377902]
 [0.26799208]
 [0.06384674]
 ...
 [0.00417637]
 [0.0005926 ]
 [0.00365966]]"
61,+6b,valve,id_00,abnormal,00000061.wav,+6b/valve/id_00/abnormal/00000061.wav,[0.00080109 0.00268173 0.00307846 ... 0.00458145 0.00362778 0.00356674],"[[0.05366877]
 [0.0004964 ]
 [0.04378367]
 ...
 [0.08142623]
 [0.01337836]
 [0.09273539]]"
62,+6b,valve,id_00,abnormal,00000062.wav,+6b/valve/id_00/abnormal/00000062.wav,[0.00226974 0.00240326 0.00392151 ... 0.00150681 0.00074387 0.00090408],"[[0.08528517]
 [0.05784767]
 [0.02009194]
 ...
 [0.00332438]
 [0.00103165]
 [0.0021631 ]]"
63,+6b,valve,id_00,abnormal,00000063.wav,+6b/valve/id_00/abnormal/00000063.wav,"[ 6.4849854e-05 -1.5258789e-04 -1.2207031e-04 ...  3.1356812e-03
  3.2730103e-03  3.2653809e-03]","[[0.08655726]
 [0.08826904]
 [0.10998308]
 ...
 [0.00106335]
 [0.00126834]
 [0.00188892]]"
64,+6b,valve,id_00,abnormal,00000064.wav,+6b/valve/id_00/abnormal/00000064.wav,[0.00127029 0.0005722  0.00034332 ... 0.00068283 0.0016098  0.00276184],"[[0.04582085]
 [0.06031016]
 [0.02327226]
 ...
 [0.00038896]
 [0.00084213]
 [0.00271037]]"
65,+6b,valve,id_00,abnormal,00000065.wav,+6b/valve/id_00/abnormal/00000065.wav,"[-0.00102997 -0.00117111 -0.00065613 ...  0.00048447  0.00102997
  0.00101471]","[[0.02482947]
 [0.05420186]
 [0.10273026]
 ...
 [0.00309016]
 [0.00016142]
 [0.00180237]]"
66,+6b,valve,id_00,abnormal,00000066.wav,+6b/valve/id_00/abnormal/00000066.wav,[0.00314331 0.00280762 0.00189209 ... 0.00295258 0.00218201 0.00115204],"[[0.05000605]
 [0.04671685]
 [0.0561758 ]
 ...
 [0.00788198]
 [0.09730882]
 [0.13829315]]"
67,+6b,valve,id_00,abnormal,00000067.wav,+6b/valve/id_00/abnormal/00000067.wav,"[-1.3847351e-03 -2.1514893e-03 -2.3345947e-03 ... -4.8446655e-04
 -1.5373230e-03  1.5258789e-05]","[[0.3218137 ]
 [0.37040973]
 [0.30176607]
 ...
 [0.00110843]
 [0.00099311]
 [0.00039498]]"
68,+6b,valve,id_00,abnormal,00000068.wav,+6b/valve/id_00/abnormal/00000068.wav,"[ 0.0021019   0.00223541  0.00142288 ... -0.00091934 -0.00104141
 -0.00086975]","[[0.03891877]
 [0.08306997]
 [0.01930309]
 ...
 [0.00042334]
 [0.00059433]
 [0.00107989]]"
69,+6b,valve,id_00,abnormal,00000069.wav,+6b/valve/id_00/abnormal/00000069.wav,"[-4.3869019e-04 -6.5612793e-04  1.6403198e-04 ...  3.4332275e-05
 -7.2479248e-05  9.8037720e-04]","[[0.09391052]
 [0.10368593]
 [0.03703821]
 ...
 [0.00248834]
 [0.00218425]
 [0.00303864]]"
70,+6b,valve,id_00,abnormal,00000070.wav,+6b/valve/id_00/abnormal/00000070.wav,"[-0.00141525 -0.00111008 -0.00156784 ...  0.00724411  0.00822449
  0.00888824]","[[0.14200206]
 [0.13721752]
 [0.14493982]
 ...
 [0.00151857]
 [0.00604251]
 [0.00952449]]"
71,+6b,valve,id_00,abnormal,00000071.wav,+6b/valve/id_00/abnormal/00000071.wav,"[-0.00091934  0.00105286  0.00085068 ... -0.00194168 -0.00196457
 -0.0018158 ]","[[0.39510784]
 [0.32127342]
 [0.18353641]
 ...
 [0.00228907]
 [0.00100838]
 [0.00131535]]"
72,+6b,valve,id_00,abnormal,00000072.wav,+6b/valve/id_00/abnormal/00000072.wav,"[ 0.00072861  0.00118637  0.00115204 ...  0.00087357 -0.00098038
 -0.00178528]","[[0.24763669]
 [0.3640893 ]
 [0.5035495 ]
 ...
 [0.00069579]
 [0.00157331]
 [0.00112636]]"
73,+6b,valve,id_00,abnormal,00000073.wav,+6b/valve/id_00/abnormal/00000073.wav,"[ 1.3198853e-03  1.1901855e-03  1.2779236e-03 ... -1.9073486e-05
 -3.3950806e-04  2.8991699e-04]","[[0.18004191]
 [0.24216798]
 [0.27769527]
 ...
 [0.03909827]
 [0.0514956 ]
 [0.049372  ]]"
74,+6b,valve,id_00,abnormal,00000074.wav,+6b/valve/id_00/abnormal/00000074.wav,"[-0.00192261 -0.0020256  -0.00167847 ...  0.00060654  0.0005722
  0.00106049]","[[0.06041009]
 [0.09490276]
 [0.27377775]
 ...
 [0.00090168]
 [0.00140438]
 [0.00143565]]"
75,+6b,valve,id_00,abnormal,00000075.wav,+6b/valve/id_00/abnormal/00000075.wav,"[-2.7275085e-03 -3.0593872e-03 -1.9989014e-03 ... -7.6293945e-06
  1.4114380e-04  6.5612793e-04]","[[0.05892611]
 [0.09377886]
 [0.16376622]
 ...
 [0.00310119]
 [0.00098359]
 [0.00373198]]"
76,+6b,valve,id_00,abnormal,00000076.wav,+6b/valve/id_00/abnormal/00000076.wav,"[-6.1035156e-05 -4.2724609e-04 -4.1580200e-04 ...  4.3106079e-04
  4.0054321e-04  9.6511841e-04]","[[0.32834402]
 [0.4669398 ]
 [0.45585158]
 ...
 [0.0036572 ]
 [0.01176262]
 [0.020716  ]]"
77,+6b,valve,id_00,abnormal,00000077.wav,+6b/valve/id_00/abnormal/00000077.wav,[0.00389481 0.00402451 0.00359726 ... 0.00112915 0.00132751 0.00155258],"[[0.06400333]
 [0.2759557 ]
 [0.4709264 ]
 ...
 [0.00078487]
 [0.00066802]
 [0.0016067 ]]"
78,+6b,valve,id_00,abnormal,00000078.wav,+6b/valve/id_00/abnormal/00000078.wav,"[-0.00194168 -0.0015564  -0.001091   ... -0.00022125 -0.00019455
  0.00020599]","[[0.15305659]
 [0.14173844]
 [0.03979819]
 ...
 [0.00025209]
 [0.00081532]
 [0.00148003]]"
79,+6b,valve,id_00,abnormal,00000079.wav,+6b/valve/id_00/abnormal/00000079.wav,[0.00239563 0.00236511 0.00231934 ... 0.0021019  0.00170898 0.001297  ],"[[0.14182046]
 [0.12070899]
 [0.24600506]
 ...
 [0.00469049]
 [0.00165144]
 [0.00036975]]"
80,+6b,valve,id_00,abnormal,00000080.wav,+6b/valve/id_00/abnormal/00000080.wav,"[ 0.00093842  0.00123215  0.00150681 ... -0.00163651 -0.00191879
 -0.00237274]","[[1.5890081e-01]
 [1.3010909e-01]
 [2.2277921e-01]
 ...
 [1.2486146e-03]
 [1.5259789e-04]
 [1.3124023e-03]]"
81,+6b,valve,id_00,abnormal,00000081.wav,+6b/valve/id_00/abnormal/00000081.wav,"[-5.3405762e-05  1.8692017e-04  5.5694580e-04 ... -2.3040771e-03
 -3.5591125e-03 -4.0779114e-03]","[[0.03010706]
 [0.03026259]
 [0.17346072]
 ...
 [0.00306803]
 [0.00465782]
 [0.00507693]]"
82,+6b,valve,id_00,abnormal,00000082.wav,+6b/valve/id_00/abnormal/00000082.wav,"[-5.2261353e-04 -1.4114380e-04  3.5858154e-04 ... -7.2479248e-05
 -1.6403198e-04 -1.8310547e-04]","[[0.25301108]
 [0.28738558]
 [0.28797406]
 ...
 [0.00122918]
 [0.00056455]
 [0.00062514]]"
83,+6b,valve,id_00,abnormal,00000083.wav,+6b/valve/id_00/abnormal/00000083.wav,[0.00047302 0.00044632 0.00045395 ... 0.00036621 0.00048447 0.00094604],"[[0.5515344 ]
 [0.51798826]
 [0.26184663]
 ...
 [0.00142641]
 [0.00300675]
 [0.00377858]]"
84,+6b,valve,id_00,abnormal,00000084.wav,+6b/valve/id_00/abnormal/00000084.wav,"[-0.00229645 -0.00217056 -0.00217438 ... -0.00382996 -0.00085831
 -0.00192642]","[[0.33734813]
 [0.28180316]
 [0.06282993]
 ...
 [0.00350715]
 [0.00510289]
 [0.00898373]]"
