snr,machine,id,condition,file,path
+6db,slider,id_00,abnormal,00000043.wav,E:\+6db/slider/id_00/abnormal/00000043.wav
+6db,slider,id_00,abnormal,00000044.wav,E:\+6db/slider/id_00/abnormal/00000044.wav
+6db,slider,id_00,abnormal,00000045.wav,E:\+6db/slider/id_00/abnormal/00000045.wav
+6db,slider,id_00,abnormal,00000046.wav,E:\+6db/slider/id_00/abnormal/00000046.wav
+6db,slider,id_00,abnormal,00000047.wav,E:\+6db/slider/id_00/abnormal/00000047.wav
+6db,slider,id_00,abnormal,00000048.wav,E:\+6db/slider/id_00/abnormal/00000048.wav
+6db,slider,id_00,abnormal,00000049.wav,E:\+6db/slider/id_00/abnormal/00000049.wav
+6db,slider,id_00,abnormal,00000050.wav,E:\+6db/slider/id_00/abnormal/00000050.wav
+6db,slider,id_00,abnormal,00000051.wav,E:\+6db/slider/id_00/abnormal/00000051.wav
+6db,slider,id_00,abnormal,00000052.wav,E:\+6db/slider/id_00/abnormal/00000052.wav
+6db,slider,id_00,abnormal,00000053.wav,E:\+6db/slider/id_00/abnormal/00000053.wav
+6db,slider,id_00,abnormal,00000054.wav,E:\+6db/slider/id_00/abnormal/00000054.wav
+6db,slider,id_00,abnormal,00000055.wav,E:\+6db/slider/id_00/abnormal/00000055.wav
+6db,slider,id_00,abnormal,00000056.wav,E:\+6db/slider/id_00/abnormal/00000056.wav
+6db,slider,id_00,abnormal,00000057.wav,E:\+6db/slider/id_00/abnormal/00000057.wav
+6db,slider,id_00,abnormal,00000058.wav,E:\+6db/slider/id_00/abnormal/00000058.wav
+6db,slider,id_00,abnormal,00000059.wav,E:\+6db/slider/id_00/abnormal/00000059.wav
+6db,slider,id_00,abnormal,00000060.wav,E:\+6db/slider/id_00/abnormal/00000060.wav
+6db,slider,id_00,abnormal,00000061.wav,E:\+6db/slider/id_00/abnormal/00000061.wav
+6db,slider,id_00,abnormal,00000062.wav,E:\+6db/slider/id_00/abnormal/00000062.wav
+6db,slider,id_00,abnormal,00000063.wav,E:\+6db/slider/id_00/abnormal/00000063.wav
+6db,slider,id_00,abnormal,00000064.wav,E:\+6db/slider/id_00/abnormal/00000064.wav
+6db,slider,id_00,abnormal,00000065.wav,E:\+6db/slider/id_00/abnormal/00000065.wav
+6db,slider,id_00,abnormal,00000066.wav,E:\+6db/slider/id_00/abnormal/00000066.wav
+6db,slider,id_00,abnormal,00000067.wav,E:\+6db/slider/id_00/abnormal/00000067.wav
+6db,slider,id_00,abnormal,00000068.wav,E:\+6db/slider/id_00/abnormal/00000068.wav
+6db,slider,id_00,abnormal,00000069.wav,E:\+6db/slider/id_00/abnormal/00000069.wav
+6db,slider,id_00,abnormal,00000070.wav,E:\+6db/slider/id_00/abnormal/00000070.wav
+6db,slider,id_00,abnormal,00000071.wav,E:\+6db/slider/id_00/abnormal/00000071.wav
+6db,slider,id_00,abnormal,00000072.wav,E:\+6db/slider/id_00/abnormal/00000072.wav
+6db,slider,id_00,abnormal,00000073.wav,E:\+6db/slider/id_00/abnormal/00000073.wav
+6db,slider,id_00,abnormal,00000074.wav,E:\+6db/slider/id_00/abnormal/00000074.wav
+6db,slider,id_00,abnormal,00000075.wav,E:\+6db/slider/id_00/abnormal/00000075.wav
+6db,slider,id_00,abnormal,00000076.wav,E:\+6db/slider/id_00/abnormal/00000076.wav
+6db,slider,id_00,abnormal,00000077.wav,E:\+6db/slider/id_00/abnormal/00000077.wav
+6db,slider,id_00,abnormal,00000078.wav,E:\+6db/slider/id_00/abnormal/00000078.wav
+6db,slider,id_00,abnormal,00000079.wav,E:\+6db/slider/id_00/abnormal/00000079.wav
+6db,slider,id_00,abnormal,00000080.wav,E:\+6db/slider/id_00/abnormal/00000080.wav
+6db,slider,id_00,abnormal,00000081.wav,E:\+6db/slider/id_00/abnormal/00000081.wav
+6db,slider,id_00,abnormal,00000082.wav,E:\+6db/slider/id_00/abnormal/00000082.wav
+6db,slider,id_00,abnormal,00000083.wav,E:\+6db/slider/id_00/abnormal/00000083.wav
+6db,slider,id_00,abnormal,00000084.wav,E:\+6db/slider/id_00/abnormal/00000084.wav
+6db,slider,id_00,abnormal,00000085.wav,E:\+6db/slider/id_00/abnormal/00000085.wav
+6db,slider,id_00,abnormal,00000086.wav,E:\+6db/slider/id_00/abnormal/00000086.wav
+6db,slider,id_00,abnormal,00000087.wav,E:\+6db/slider/id_00/abnormal/00000087.wav
+6db,slider,id_00,abnormal,00000088.wav,E:\+6db/slider/id_00/abnormal/00000088.wav
+6db,slider,id_00,abnormal,00000089.wav,E:\+6db/slider/id_00/abnormal/00000089.wav
+6db,slider,id_00,abnormal,00000090.wav,E:\+6db/slider/id_00/abnormal/00000090.wav
+6db,slider,id_00,abnormal,00000091.wav,E:\+6db/slider/id_00/abnormal/00000091.wav
+6db,slider,id_00,abnormal,00000092.wav,E:\+6db/slider/id_00/abnormal/00000092.wav
+6db,slider,id_00,abnormal,00000093.wav,E:\+6db/slider/id_00/abnormal/00000093.wav
+6db,slider,id_00,abnormal,00000094.wav,E:\+6db/slider/id_00/abnormal/00000094.wav
+6db,slider,id_00,abnormal,00000095.wav,E:\+6db/slider/id_00/abnormal/00000095.wav
+6db,slider,id_00,abnormal,00000096.wav,E:\+6db/slider/id_00/abnormal/00000096.wav
+6db,slider,id_00,abnormal,00000097.wav,E:\+6db/slider/id_00/abnormal/00000097.wav
+6db,slider,id_00,abnormal,00000098.wav,E:\+6db/slider/id_00/abnormal/00000098.wav
+6db,slider,id_00,abnormal,00000099.wav,E:\+6db/slider/id_00/abnormal/00000099.wav
+6db,slider,id_00,abnormal,00000100.wav,E:\+6db/slider/id_00/abnormal/00000100.wav
+6db,slider,id_00,abnormal,00000101.wav,E:\+6db/slider/id_00/abnormal/00000101.wav
+6db,slider,id_00,abnormal,00000102.wav,E:\+6db/slider/id_00/abnormal/00000102.wav
+6db,slider,id_00,abnormal,00000103.wav,E:\+6db/slider/id_00/abnormal/00000103.wav
+6db,slider,id_00,abnormal,00000104.wav,E:\+6db/slider/id_00/abnormal/00000104.wav
+6db,slider,id_00,abnormal,00000105.wav,E:\+6db/slider/id_00/abnormal/00000105.wav
+6db,slider,id_00,abnormal,00000106.wav,E:\+6db/slider/id_00/abnormal/00000106.wav
+6db,slider,id_00,abnormal,00000107.wav,E:\+6db/slider/id_00/abnormal/00000107.wav
+6db,slider,id_00,abnormal,00000108.wav,E:\+6db/slider/id_00/abnormal/00000108.wav
+6db,slider,id_00,abnormal,00000109.wav,E:\+6db/slider/id_00/abnormal/00000109.wav
+6db,slider,id_00,abnormal,00000110.wav,E:\+6db/slider/id_00/abnormal/00000110.wav
+6db,slider,id_00,abnormal,00000111.wav,E:\+6db/slider/id_00/abnormal/00000111.wav
+6db,slider,id_00,abnormal,00000112.wav,E:\+6db/slider/id_00/abnormal/00000112.wav
+6db,slider,id_00,abnormal,00000113.wav,E:\+6db/slider/id_00/abnormal/00000113.wav
+6db,slider,id_00,abnormal,00000114.wav,E:\+6db/slider/id_00/abnormal/00000114.wav
+6db,slider,id_00,abnormal,00000115.wav,E:\+6db/slider/id_00/abnormal/00000115.wav
+6db,slider,id_00,abnormal,00000116.wav,E:\+6db/slider/id_00/abnormal/00000116.wav
+6db,slider,id_00,abnormal,00000117.wav,E:\+6db/slider/id_00/abnormal/00000117.wav
+6db,slider,id_00,abnormal,00000118.wav,E:\+6db/slider/id_00/abnormal/00000118.wav
+6db,slider,id_00,abnormal,00000119.wav,E:\+6db/slider/id_00/abnormal/00000119.wav
+6db,slider,id_00,abnormal,00000120.wav,E:\+6db/slider/id_00/abnormal/00000120.wav
+6db,slider,id_00,abnormal,00000121.wav,E:\+6db/slider/id_00/abnormal/00000121.wav
+6db,slider,id_00,abnormal,00000122.wav,E:\+6db/slider/id_00/abnormal/00000122.wav
+6db,slider,id_00,abnormal,00000123.wav,E:\+6db/slider/id_00/abnormal/00000123.wav
+6db,slider,id_00,abnormal,00000124.wav,E:\+6db/slider/id_00/abnormal/00000124.wav
+6db,slider,id_00,abnormal,00000125.wav,E:\+6db/slider/id_00/abnormal/00000125.wav
+6db,slider,id_00,abnormal,00000126.wav,E:\+6db/slider/id_00/abnormal/00000126.wav
+6db,slider,id_00,abnormal,00000127.wav,E:\+6db/slider/id_00/abnormal/00000127.wav
+6db,slider,id_00,abnormal,00000128.wav,E:\+6db/slider/id_00/abnormal/00000128.wav
+6db,slider,id_00,abnormal,00000129.wav,E:\+6db/slider/id_00/abnormal/00000129.wav
+6db,slider,id_00,abnormal,00000130.wav,E:\+6db/slider/id_00/abnormal/00000130.wav
+6db,slider,id_00,abnormal,00000131.wav,E:\+6db/slider/id_00/abnormal/00000131.wav
+6db,slider,id_00,abnormal,00000132.wav,E:\+6db/slider/id_00/abnormal/00000132.wav
+6db,slider,id_00,abnormal,00000133.wav,E:\+6db/slider/id_00/abnormal/00000133.wav
+6db,slider,id_00,abnormal,00000134.wav,E:\+6db/slider/id_00/abnormal/00000134.wav
+6db,slider,id_00,abnormal,00000135.wav,E:\+6db/slider/id_00/abnormal/00000135.wav
+6db,slider,id_00,abnormal,00000136.wav,E:\+6db/slider/id_00/abnormal/00000136.wav
+6db,slider,id_00,abnormal,00000137.wav,E:\+6db/slider/id_00/abnormal/00000137.wav
+6db,slider,id_00,abnormal,00000138.wav,E:\+6db/slider/id_00/abnormal/00000138.wav
+6db,slider,id_00,abnormal,00000139.wav,E:\+6db/slider/id_00/abnormal/00000139.wav
+6db,slider,id_00,abnormal,00000140.wav,E:\+6db/slider/id_00/abnormal/00000140.wav
+6db,slider,id_00,abnormal,00000141.wav,E:\+6db/slider/id_00/abnormal/00000141.wav
+6db,slider,id_00,abnormal,00000142.wav,E:\+6db/slider/id_00/abnormal/00000142.wav
+6db,slider,id_00,abnormal,00000143.wav,E:\+6db/slider/id_00/abnormal/00000143.wav
+6db,slider,id_00,abnormal,00000144.wav,E:\+6db/slider/id_00/abnormal/00000144.wav
+6db,slider,id_00,abnormal,00000145.wav,E:\+6db/slider/id_00/abnormal/00000145.wav
+6db,slider,id_00,abnormal,00000146.wav,E:\+6db/slider/id_00/abnormal/00000146.wav
+6db,slider,id_00,abnormal,00000147.wav,E:\+6db/slider/id_00/abnormal/00000147.wav
+6db,slider,id_00,abnormal,00000148.wav,E:\+6db/slider/id_00/abnormal/00000148.wav
+6db,slider,id_00,abnormal,00000149.wav,E:\+6db/slider/id_00/abnormal/00000149.wav
+6db,slider,id_00,abnormal,00000150.wav,E:\+6db/slider/id_00/abnormal/00000150.wav
+6db,slider,id_00,abnormal,00000151.wav,E:\+6db/slider/id_00/abnormal/00000151.wav
+6db,slider,id_00,abnormal,00000152.wav,E:\+6db/slider/id_00/abnormal/00000152.wav
+6db,slider,id_00,abnormal,00000153.wav,E:\+6db/slider/id_00/abnormal/00000153.wav
+6db,slider,id_00,abnormal,00000154.wav,E:\+6db/slider/id_00/abnormal/00000154.wav
+6db,slider,id_00,abnormal,00000155.wav,E:\+6db/slider/id_00/abnormal/00000155.wav
+6db,slider,id_00,abnormal,00000156.wav,E:\+6db/slider/id_00/abnormal/00000156.wav
+6db,slider,id_00,abnormal,00000157.wav,E:\+6db/slider/id_00/abnormal/00000157.wav
+6db,slider,id_00,abnormal,00000158.wav,E:\+6db/slider/id_00/abnormal/00000158.wav
+6db,slider,id_00,abnormal,00000159.wav,E:\+6db/slider/id_00/abnormal/00000159.wav
+6db,slider,id_00,abnormal,00000160.wav,E:\+6db/slider/id_00/abnormal/00000160.wav
+6db,slider,id_00,abnormal,00000161.wav,E:\+6db/slider/id_00/abnormal/00000161.wav
+6db,slider,id_00,abnormal,00000162.wav,E:\+6db/slider/id_00/abnormal/00000162.wav
+6db,slider,id_00,abnormal,00000163.wav,E:\+6db/slider/id_00/abnormal/00000163.wav
+6db,slider,id_00,abnormal,00000164.wav,E:\+6db/slider/id_00/abnormal/00000164.wav
+6db,slider,id_00,abnormal,00000165.wav,E:\+6db/slider/id_00/abnormal/00000165.wav
+6db,slider,id_00,abnormal,00000166.wav,E:\+6db/slider/id_00/abnormal/00000166.wav
+6db,slider,id_00,abnormal,00000167.wav,E:\+6db/slider/id_00/abnormal/00000167.wav
+6db,slider,id_00,abnormal,00000168.wav,E:\+6db/slider/id_00/abnormal/00000168.wav
+6db,slider,id_00,abnormal,00000169.wav,E:\+6db/slider/id_00/abnormal/00000169.wav
+6db,slider,id_00,abnormal,00000170.wav,E:\+6db/slider/id_00/abnormal/00000170.wav
+6db,slider,id_00,abnormal,00000171.wav,E:\+6db/slider/id_00/abnormal/00000171.wav
+6db,slider,id_00,abnormal,00000172.wav,E:\+6db/slider/id_00/abnormal/00000172.wav
+6db,slider,id_00,abnormal,00000173.wav,E:\+6db/slider/id_00/abnormal/00000173.wav
+6db,slider,id_00,abnormal,00000174.wav,E:\+6db/slider/id_00/abnormal/00000174.wav
+6db,slider,id_00,abnormal,00000175.wav,E:\+6db/slider/id_00/abnormal/00000175.wav
+6db,slider,id_00,abnormal,00000176.wav,E:\+6db/slider/id_00/abnormal/00000176.wav
+6db,slider,id_00,abnormal,00000177.wav,E:\+6db/slider/id_00/abnormal/00000177.wav
+6db,slider,id_00,abnormal,00000178.wav,E:\+6db/slider/id_00/abnormal/00000178.wav
+6db,slider,id_00,abnormal,00000179.wav,E:\+6db/slider/id_00/abnormal/00000179.wav
+6db,slider,id_00,abnormal,00000180.wav,E:\+6db/slider/id_00/abnormal/00000180.wav
+6db,slider,id_00,abnormal,00000181.wav,E:\+6db/slider/id_00/abnormal/00000181.wav
+6db,slider,id_00,abnormal,00000182.wav,E:\+6db/slider/id_00/abnormal/00000182.wav
+6db,slider,id_00,abnormal,00000183.wav,E:\+6db/slider/id_00/abnormal/00000183.wav
+6db,slider,id_00,abnormal,00000184.wav,E:\+6db/slider/id_00/abnormal/00000184.wav
+6db,slider,id_00,abnormal,00000185.wav,E:\+6db/slider/id_00/abnormal/00000185.wav
+6db,slider,id_00,abnormal,00000186.wav,E:\+6db/slider/id_00/abnormal/00000186.wav
+6db,slider,id_00,abnormal,00000187.wav,E:\+6db/slider/id_00/abnormal/00000187.wav
+6db,slider,id_00,abnormal,00000188.wav,E:\+6db/slider/id_00/abnormal/00000188.wav
+6db,slider,id_00,abnormal,00000189.wav,E:\+6db/slider/id_00/abnormal/00000189.wav
+6db,slider,id_00,abnormal,00000190.wav,E:\+6db/slider/id_00/abnormal/00000190.wav
+6db,slider,id_00,abnormal,00000191.wav,E:\+6db/slider/id_00/abnormal/00000191.wav
+6db,slider,id_00,abnormal,00000192.wav,E:\+6db/slider/id_00/abnormal/00000192.wav
+6db,slider,id_00,abnormal,00000193.wav,E:\+6db/slider/id_00/abnormal/00000193.wav
+6db,slider,id_00,abnormal,00000194.wav,E:\+6db/slider/id_00/abnormal/00000194.wav
+6db,slider,id_00,abnormal,00000195.wav,E:\+6db/slider/id_00/abnormal/00000195.wav
+6db,slider,id_00,abnormal,00000196.wav,E:\+6db/slider/id_00/abnormal/00000196.wav
+6db,slider,id_00,abnormal,00000197.wav,E:\+6db/slider/id_00/abnormal/00000197.wav
+6db,slider,id_00,abnormal,00000198.wav,E:\+6db/slider/id_00/abnormal/00000198.wav
+6db,slider,id_00,abnormal,00000199.wav,E:\+6db/slider/id_00/abnormal/00000199.wav
+6db,slider,id_00,abnormal,00000200.wav,E:\+6db/slider/id_00/abnormal/00000200.wav
+6db,slider,id_00,abnormal,00000201.wav,E:\+6db/slider/id_00/abnormal/00000201.wav
+6db,slider,id_00,abnormal,00000202.wav,E:\+6db/slider/id_00/abnormal/00000202.wav
+6db,slider,id_00,abnormal,00000203.wav,E:\+6db/slider/id_00/abnormal/00000203.wav
+6db,slider,id_00,abnormal,00000204.wav,E:\+6db/slider/id_00/abnormal/00000204.wav
+6db,slider,id_00,abnormal,00000205.wav,E:\+6db/slider/id_00/abnormal/00000205.wav
+6db,slider,id_00,abnormal,00000206.wav,E:\+6db/slider/id_00/abnormal/00000206.wav
+6db,slider,id_00,abnormal,00000207.wav,E:\+6db/slider/id_00/abnormal/00000207.wav
+6db,slider,id_00,abnormal,00000208.wav,E:\+6db/slider/id_00/abnormal/00000208.wav
+6db,slider,id_00,abnormal,00000209.wav,E:\+6db/slider/id_00/abnormal/00000209.wav
+6db,slider,id_00,abnormal,00000210.wav,E:\+6db/slider/id_00/abnormal/00000210.wav
+6db,slider,id_00,abnormal,00000211.wav,E:\+6db/slider/id_00/abnormal/00000211.wav
+6db,slider,id_00,abnormal,00000212.wav,E:\+6db/slider/id_00/abnormal/00000212.wav
+6db,slider,id_00,abnormal,00000213.wav,E:\+6db/slider/id_00/abnormal/00000213.wav
+6db,slider,id_00,abnormal,00000214.wav,E:\+6db/slider/id_00/abnormal/00000214.wav
+6db,slider,id_00,abnormal,00000215.wav,E:\+6db/slider/id_00/abnormal/00000215.wav
+6db,slider,id_00,abnormal,00000216.wav,E:\+6db/slider/id_00/abnormal/00000216.wav
+6db,slider,id_00,abnormal,00000217.wav,E:\+6db/slider/id_00/abnormal/00000217.wav
+6db,slider,id_00,abnormal,00000218.wav,E:\+6db/slider/id_00/abnormal/00000218.wav
+6db,slider,id_00,abnormal,00000219.wav,E:\+6db/slider/id_00/abnormal/00000219.wav
+6db,slider,id_00,abnormal,00000220.wav,E:\+6db/slider/id_00/abnormal/00000220.wav
+6db,slider,id_00,abnormal,00000221.wav,E:\+6db/slider/id_00/abnormal/00000221.wav
+6db,slider,id_00,abnormal,00000222.wav,E:\+6db/slider/id_00/abnormal/00000222.wav
+6db,slider,id_00,abnormal,00000223.wav,E:\+6db/slider/id_00/abnormal/00000223.wav
+6db,slider,id_00,abnormal,00000224.wav,E:\+6db/slider/id_00/abnormal/00000224.wav
+6db,slider,id_00,abnormal,00000225.wav,E:\+6db/slider/id_00/abnormal/00000225.wav
+6db,slider,id_00,abnormal,00000226.wav,E:\+6db/slider/id_00/abnormal/00000226.wav
+6db,slider,id_00,abnormal,00000227.wav,E:\+6db/slider/id_00/abnormal/00000227.wav
+6db,slider,id_00,abnormal,00000228.wav,E:\+6db/slider/id_00/abnormal/00000228.wav
+6db,slider,id_00,abnormal,00000229.wav,E:\+6db/slider/id_00/abnormal/00000229.wav
+6db,slider,id_00,abnormal,00000230.wav,E:\+6db/slider/id_00/abnormal/00000230.wav
+6db,slider,id_00,abnormal,00000231.wav,E:\+6db/slider/id_00/abnormal/00000231.wav
+6db,slider,id_00,abnormal,00000232.wav,E:\+6db/slider/id_00/abnormal/00000232.wav
+6db,slider,id_00,abnormal,00000233.wav,E:\+6db/slider/id_00/abnormal/00000233.wav
+6db,slider,id_00,abnormal,00000234.wav,E:\+6db/slider/id_00/abnormal/00000234.wav
+6db,slider,id_00,abnormal,00000235.wav,E:\+6db/slider/id_00/abnormal/00000235.wav
+6db,slider,id_00,abnormal,00000236.wav,E:\+6db/slider/id_00/abnormal/00000236.wav
+6db,slider,id_00,abnormal,00000237.wav,E:\+6db/slider/id_00/abnormal/00000237.wav
+6db,slider,id_00,abnormal,00000238.wav,E:\+6db/slider/id_00/abnormal/00000238.wav
+6db,slider,id_00,abnormal,00000239.wav,E:\+6db/slider/id_00/abnormal/00000239.wav
+6db,slider,id_00,abnormal,00000240.wav,E:\+6db/slider/id_00/abnormal/00000240.wav
+6db,slider,id_00,abnormal,00000241.wav,E:\+6db/slider/id_00/abnormal/00000241.wav
+6db,slider,id_00,abnormal,00000242.wav,E:\+6db/slider/id_00/abnormal/00000242.wav
+6db,slider,id_00,abnormal,00000243.wav,E:\+6db/slider/id_00/abnormal/00000243.wav
+6db,slider,id_00,abnormal,00000244.wav,E:\+6db/slider/id_00/abnormal/00000244.wav
+6db,slider,id_00,abnormal,00000245.wav,E:\+6db/slider/id_00/abnormal/00000245.wav
+6db,slider,id_00,abnormal,00000246.wav,E:\+6db/slider/id_00/abnormal/00000246.wav
+6db,slider,id_00,abnormal,00000247.wav,E:\+6db/slider/id_00/abnormal/00000247.wav
+6db,slider,id_00,abnormal,00000248.wav,E:\+6db/slider/id_00/abnormal/00000248.wav
+6db,slider,id_00,abnormal,00000249.wav,E:\+6db/slider/id_00/abnormal/00000249.wav
+6db,slider,id_00,abnormal,00000250.wav,E:\+6db/slider/id_00/abnormal/00000250.wav
+6db,slider,id_00,abnormal,00000251.wav,E:\+6db/slider/id_00/abnormal/00000251.wav
+6db,slider,id_00,abnormal,00000252.wav,E:\+6db/slider/id_00/abnormal/00000252.wav
+6db,slider,id_00,abnormal,00000253.wav,E:\+6db/slider/id_00/abnormal/00000253.wav
+6db,slider,id_00,abnormal,00000254.wav,E:\+6db/slider/id_00/abnormal/00000254.wav
+6db,slider,id_00,abnormal,00000255.wav,E:\+6db/slider/id_00/abnormal/00000255.wav
+6db,slider,id_00,abnormal,00000256.wav,E:\+6db/slider/id_00/abnormal/00000256.wav
+6db,slider,id_00,abnormal,00000257.wav,E:\+6db/slider/id_00/abnormal/00000257.wav
+6db,slider,id_00,abnormal,00000258.wav,E:\+6db/slider/id_00/abnormal/00000258.wav
+6db,slider,id_00,abnormal,00000259.wav,E:\+6db/slider/id_00/abnormal/00000259.wav
+6db,slider,id_00,abnormal,00000260.wav,E:\+6db/slider/id_00/abnormal/00000260.wav
+6db,slider,id_00,abnormal,00000261.wav,E:\+6db/slider/id_00/abnormal/00000261.wav
+6db,slider,id_00,abnormal,00000262.wav,E:\+6db/slider/id_00/abnormal/00000262.wav
+6db,slider,id_00,abnormal,00000263.wav,E:\+6db/slider/id_00/abnormal/00000263.wav
+6db,slider,id_00,abnormal,00000264.wav,E:\+6db/slider/id_00/abnormal/00000264.wav
+6db,slider,id_00,abnormal,00000265.wav,E:\+6db/slider/id_00/abnormal/00000265.wav
+6db,slider,id_00,abnormal,00000266.wav,E:\+6db/slider/id_00/abnormal/00000266.wav
+6db,slider,id_00,abnormal,00000267.wav,E:\+6db/slider/id_00/abnormal/00000267.wav
+6db,slider,id_00,abnormal,00000268.wav,E:\+6db/slider/id_00/abnormal/00000268.wav
+6db,slider,id_00,abnormal,00000269.wav,E:\+6db/slider/id_00/abnormal/00000269.wav
+6db,slider,id_00,abnormal,00000270.wav,E:\+6db/slider/id_00/abnormal/00000270.wav
+6db,slider,id_00,abnormal,00000271.wav,E:\+6db/slider/id_00/abnormal/00000271.wav
+6db,slider,id_00,abnormal,00000272.wav,E:\+6db/slider/id_00/abnormal/00000272.wav
+6db,slider,id_00,abnormal,00000273.wav,E:\+6db/slider/id_00/abnormal/00000273.wav
+6db,slider,id_00,abnormal,00000274.wav,E:\+6db/slider/id_00/abnormal/00000274.wav
+6db,slider,id_00,abnormal,00000275.wav,E:\+6db/slider/id_00/abnormal/00000275.wav
+6db,slider,id_00,abnormal,00000276.wav,E:\+6db/slider/id_00/abnormal/00000276.wav
+6db,slider,id_00,abnormal,00000277.wav,E:\+6db/slider/id_00/abnormal/00000277.wav
+6db,slider,id_00,abnormal,00000278.wav,E:\+6db/slider/id_00/abnormal/00000278.wav
+6db,slider,id_00,abnormal,00000279.wav,E:\+6db/slider/id_00/abnormal/00000279.wav
+6db,slider,id_00,abnormal,00000280.wav,E:\+6db/slider/id_00/abnormal/00000280.wav
+6db,slider,id_00,abnormal,00000281.wav,E:\+6db/slider/id_00/abnormal/00000281.wav
+6db,slider,id_00,abnormal,00000282.wav,E:\+6db/slider/id_00/abnormal/00000282.wav
+6db,slider,id_00,abnormal,00000283.wav,E:\+6db/slider/id_00/abnormal/00000283.wav
+6db,slider,id_00,abnormal,00000284.wav,E:\+6db/slider/id_00/abnormal/00000284.wav
